Nombre_Completo;Cédula;Edad;Género;Ingresos;Frecuencia_Visitas;Gasto_Promedio;Preferencia_Producto;Ubicación;Método_Pago;Canal_Compra
Luis Pérez;8742267562;18;0;53088;11;271.883.386.716.051;5;Guayaquil;1;0
Pedro Gómez;223512670;22;0;49811;9;2.457.330.947.099.170;1;Guayaquil;2;1
Carlos Gómez;4542495687;62;1;65479;34;253.535.854.922.412;5;Ambato;1;1
Miguel Sánchez;3037894756;21;0;95392;12;38.502.457.772.245.700;5;Loja;1;1
Miguel Ramírez;2240364141;33;1;97369;35;60.460.924.872.344.600;4;Quito;1;0
María Pérez;6035061403;41;0;29963;35;17.383.777.754.213.600;1;Cuenca;1;0
Carlos Sánchez;2373782005;33;1;65123;1;4.699.664.826.390.570;4;Ambato;2;1
Lucía Martínez;9367679101;19;1;83477;40;3.790.906.481.662.500;1;Quito;0;1
Luis Ramírez;1652671671;66;1;24388;22;14.342.790.881.294.600;2;Ambato;0;1
Sofía Rodríguez;8910369370;45;0;15569;29;44.974.090.081.125.300;1;Ambato;1;1
Juan Rodríguez;6617861973;49;1;79836;8;26.802.344.866.305.300;4;Cuenca;0;1
Pedro Rodríguez;4353881968;44;0;46586;11;4.023.673.880.281.990;5;Loja;0;1
Juan Martínez;7479285447;37;0;22015;41;489.676.403.451.821;1;Guayaquil;1;0
Daniela Sánchez;2880824630;41;0;55002;37;4.214.965.411.337.190;1;Loja;1;0
Carlos Flores;8127387209;29;0;16254;14;4.348.269.424.056.460;3;Cuenca;0;0
Daniela Gómez;747664702;67;1;27144;30;2.099.124.027.287.730;5;Cuenca;2;1
Luis Sánchez;6354547372;52;1;34214;35;2.803.440.716.770.760;2;Cuenca;1;1
Juan López;2111571247;50;0;90719;21;1.344.053.963.812.190;4;Quito;2;1
Ana Martínez;9521121052;50;0;81774;37;10.609.541.884.979.100;2;Loja;0;1
Carlos Sánchez;9561848544;68;1;16090;5;25.769.886.076.195.600;5;Loja;1;1
Ana Sánchez;1094840601;60;0;21637;19;3.015.740.000.532.060;1;Ambato;2;1
Luis González;5391767254;54;1;32415;14;17.624.291.048.913.300;1;Ambato;1;0
María Gómez;4893667922;29;0;34071;26;28.902.732.370.411.500;5;Ambato;0;0
Miguel Martínez;6110045227;20;0;68243;4;44.485.563.643.161.600;1;Cuenca;2;1
Sofía López;7469766945;18;1;51240;25;2.827.935.765.438.490;1;Loja;0;0
Daniela Sánchez;6980137521;50;0;93807;45;3.631.984.171.921.480;1;Cuenca;0;1
Miguel Sánchez;6695400432;57;1;43434;42;4.046.043.340.053.730;4;Quito;1;0
Juan Pérez;985996207;27;0;79724;25;494.477.103.158.167;4;Ambato;2;1
Miguel Flores;4691564033;60;0;85697;18;30.556.672.706.672;3;Cuenca;0;1
Ana Flores;6836298543;61;0;38732;40;4.053.565.729.916.670;2;Cuenca;0;0
Luis Sánchez;3945965413;46;1;21314;8;4.816.981.660.918.880;5;Quito;2;0
Sofía Ramírez;7672594619;30;0;33954;39;47.276.076.553.286.300;5;Guayaquil;0;1
Miguel Martínez;6215509941;29;0;67108;40;7.913.010.590.107.960;5;Loja;0;1
Juan Rodríguez;8475289253;48;0;97044;14;2.091.322.310.540.250;3;Guayaquil;2;0
Daniela Ramírez;9588274958;63;0;97505;32;16.875.512.994.233.100;4;Ambato;2;0
Sofía Ramírez;2259415355;19;1;46668;38;5.259.325.732.567.110;3;Cuenca;2;1
Miguel López;4316527077;68;1;33061;33;32.028.797.970.637.000;5;Quito;2;0
Juan Pérez;8368940558;67;0;89252;23;37.059.326.046.604.100;2;Quito;1;1
Daniela López;8454746149;52;1;49749;15;4.255.827.667.787.720;1;Loja;2;1
Carlos García;3668883377;40;0;26907;33;7.016.067.593.472.710;4;Guayaquil;1;1
Luis Pérez;8006997406;34;0;28777;25;439.457.597.178.894;4;Loja;1;1
Pedro Pérez;8469072315;43;0;61745;17;3.250.335.261.709.840;3;Cuenca;1;0
Lucía Pérez;5710862914;25;1;91818;33;3.549.336.062.178.690;4;Loja;0;0
Juan García;2208961435;46;1;33624;47;45.620.576.173.474.800;5;Quito;1;0
María González;6428134255;43;1;33321;2;31.613.302.281.119.300;5;Quito;1;0
Carlos Martínez;9296256706;27;1;20488;14;1.745.742.700.034.190;3;Ambato;0;0
Juan Pérez;4927636667;43;1;32574;40;4.143.025.923.971.030;5;Ambato;0;0
Luis García;6869634570;51;1;15240;40;18.789.901.397.559.400;2;Cuenca;0;0
Pedro Gómez;2711595982;68;1;53221;39;2.677.177.430.205.920;3;Guayaquil;2;1
Sofía Sánchez;8487319198;58;1;20478;6;41.702.070.821.697.200;2;Loja;0;0
Ana Sánchez;7998370546;24;1;65645;6;17.914.415.099.182.500;1;Cuenca;0;0
Lucía Pérez;6589120859;21;0;29262;3;38.917.891.636.865.600;2;Ambato;1;1
Sofía Ramírez;2089341934;67;1;62796;7;18.775.136.838.631.300;1;Loja;0;0
Pedro López;814679471;62;1;14432;8;43.192.332.978.761.300;1;Ambato;2;0
María González;4044903498;28;1;74291;42;11.756.015.728.966.900;2;Loja;0;1
Sofía Pérez;659331184;46;1;89104;15;4.875.281.599.474.460;3;Guayaquil;2;0
Miguel González;6650721507;53;1;69399;47;3.920.817.996.461.350;5;Cuenca;0;0
Luis López;2283190811;42;1;89714;29;6.597.658.370.099.440;5;Loja;0;0
Ana Rodríguez;2160072310;38;1;60428;33;2.872.305.437.836.140;1;Quito;0;1
Daniela Rodríguez;7574751590;53;1;97731;30;49.282.998.299.845;1;Quito;0;0
Luis López;7854904464;27;1;10302;39;24.082.207.181.996.900;3;Loja;2;0
Carlos López;9006026539;54;1;92558;27;992.324.980.225.758;4;Loja;2;1
Miguel Pérez;5460786772;26;1;10055;36;24.754.139.990.366.900;2;Loja;1;0
Lucía Sánchez;4234404631;41;0;18717;29;26.110.425.138.214.100;1;Quito;2;1
María Ramírez;9080078555;52;0;38699;38;3.734.266.026.720.460;5;Quito;0;1
Juan Flores;3136787963;66;1;83686;33;35.243.446.804.884.300;3;Loja;1;0
Miguel García;5262183758;52;1;77661;37;20.724.952.136.252.000;2;Ambato;1;1
Carlos Gómez;8986609821;65;0;54247;27;11.683.132.267.210.200;3;Ambato;1;1
Luis Sánchez;7330854160;53;1;26748;33;32.607.654.220.697.100;2;Guayaquil;0;0
Daniela Flores;7243377500;35;0;14621;4;21.663.492.793.110.800;2;Cuenca;2;1
Ana Pérez;1662644271;66;0;25034;22;7.481.534.345.141.180;1;Ambato;0;1
María Pérez;4264603503;56;0;15126;2;45.128.042.760.582.800;3;Quito;1;0
Pedro Martínez;2123071375;49;0;15122;10;34.869.871.022.873.000;3;Ambato;0;0
Carlos Flores;8808009855;41;0;28030;5;3.447.600.896.582.850;5;Guayaquil;0;0
Miguel Rodríguez;7410386890;40;1;92838;10;41.306.609.919.672.000;5;Guayaquil;2;1
Luis Rodríguez;8255333315;49;0;94717;33;26.953.422.254.098.900;1;Cuenca;2;0
Ana Ramírez;1593788211;54;1;65658;38;40.937.666.991.720.300;1;Ambato;1;1
Sofía Ramírez;6761747749;29;1;48638;13;25.406.446.922.039.200;4;Quito;0;1
Juan Ramírez;5668610432;66;0;77067;31;4.291.594.595.869.790;5;Quito;0;1
Ana Pérez;534080886;30;0;98869;47;20.857.156.313.356.700;2;Loja;2;1
Lucía López;5457848634;40;1;44674;36;2.537.577.980.501.460;3;Quito;0;1
Sofía Ramírez;1018375124;42;0;45854;45;36.289.926.499.982.400;1;Cuenca;0;1
Ana Rodríguez;4513243576;52;0;56271;24;62.223.577.763.050.400;3;Cuenca;0;1
Miguel Rodríguez;62769835;58;1;83688;15;7.860.908.394.362;3;Quito;2;0
Miguel García;1396359337;47;1;48518;29;13.920.506.329.096.200;4;Quito;1;0
María García;8687656433;34;0;20267;8;14.058.421.275.173.200;5;Loja;1;1
Sofía Rodríguez;1294210817;66;1;11062;5;36.877.044.344.494.000;1;Quito;0;1
Miguel López;8803713187;37;0;60448;29;1.328.580.236.751.820;3;Loja;1;0
Juan López;8144624274;65;0;16229;47;3.202.180.510.451.490;1;Loja;2;1
Juan Martínez;5384839942;42;0;66793;4;25.219.418.656.775.200;2;Quito;2;0
Ana Ramírez;3598812685;39;1;57915;12;2.909.142.453.079.060;4;Guayaquil;1;0
Lucía Sánchez;1882729149;30;1;14632;45;42.067.241.195.736.400;2;Guayaquil;1;0
Luis Pérez;2430052930;36;1;13596;2;20.814.693.575.902.100;1;Loja;0;1
Juan Rodríguez;9867128617;66;1;16168;27;3.877.465.747.614.920;1;Quito;1;1
Sofía Sánchez;4002857512;53;1;17561;31;2.167.976.691.798.360;5;Guayaquil;0;0
Sofía González;3047419505;29;0;83794;36;18.339.697.451.501.200;3;Quito;0;0
Sofía Rodríguez;2146246090;58;0;92152;36;47.972.731.688.347.800;3;Quito;2;0
Sofía Ramírez;5595346920;36;0;36734;26;10.034.175.113.269.100;2;Quito;2;0
María Martínez;7376773058;29;0;16371;43;5.426.511.068.302.780;4;Ambato;2;0
Juan Pérez;1746680742;26;1;36069;27;38.778.310.351.238.400;3;Quito;2;1
Pedro Rodríguez;109595271;24;0;89905;5;43.442.355.623.504.800;5;Ambato;1;0
Ana Rodríguez;3783138783;45;1;22910;20;4.201.687.054.444.840;2;Loja;2;1
Juan Pérez;9449587068;31;0;83479;11;22.422.476.421.504.900;2;Guayaquil;1;0
Pedro González;5306364630;48;1;87735;10;4.586.017.018.730.370;5;Guayaquil;2;1
Luis Flores;8392990638;69;1;91264;40;3.635.511.019.497.330;4;Guayaquil;1;1
Pedro Ramírez;6916700733;36;0;33275;38;30.909.828.683.389.900;5;Guayaquil;0;1
Juan Martínez;5669375536;64;0;82274;6;4.751.603.305.583.050;4;Guayaquil;1;1
Luis Pérez;2174352249;33;0;91449;8;2.043.581.927.955.060;5;Guayaquil;1;1
Ana Martínez;2941848406;22;0;70004;23;4.775.025.989.044.200;5;Guayaquil;2;1
Carlos Pérez;8330588796;52;1;72981;47;7.615.062.593.639.130;1;Loja;1;0
Luis García;7512170538;29;0;94659;26;24.703.992.154.688.200;2;Quito;0;1
Miguel Gómez;5603975780;42;0;64553;46;1.422.564.989.721.750;5;Cuenca;0;0
Sofía Gómez;9646387619;69;1;58447;43;2.745.229.616.650.140;5;Ambato;2;1
Luis Ramírez;4901113739;38;0;44529;12;8.938.680.016.687.640;3;Cuenca;0;1
Lucía García;8826513551;53;0;85703;26;42.234.953.355.192.100;2;Cuenca;1;0
Sofía Sánchez;9167685800;40;0;86090;13;42.473.984.616.413.300;3;Quito;0;1
María Gómez;6567464629;33;0;27260;40;4.780.657.932.345.040;2;Quito;2;0
María Gómez;4862004426;56;0;13812;18;8.578.934.903.278.570;3;Quito;1;0
Juan Ramírez;3778913534;62;1;38024;25;31.543.294.994.344.500;5;Guayaquil;2;0
Juan Flores;2202362813;59;0;68656;33;2.423.762.812.631.810;5;Loja;1;0
Sofía Sánchez;5374543095;56;0;37285;47;1.787.480.287.016.740;1;Guayaquil;0;1
Daniela Sánchez;9230486458;31;0;11605;40;18.225.467.895.576.700;3;Loja;2;1
Daniela Rodríguez;4877345150;48;0;81158;43;2.122.688.397.973.080;4;Loja;2;0
María Flores;5729619373;22;0;82303;12;355.413.519.347.587;1;Cuenca;1;1
Lucía Gómez;9715501344;52;1;37139;44;30.316.016.855.139.500;3;Cuenca;2;1
Carlos Flores;6536197238;40;0;87149;36;23.524.394.125.295.400;3;Loja;1;0
Ana López;5728369577;46;1;66138;48;4.720.737.108.111.480;1;Loja;1;1
Juan Ramírez;6049775751;60;1;86125;4;48.105.018.598.688.900;5;Guayaquil;1;0
Luis Sánchez;6681609103;28;0;23918;5;11.146.301.406.631.300;3;Guayaquil;1;0
María García;1647987012;35;0;95655;37;4.841.727.002.214.720;5;Cuenca;0;1
Carlos González;3653193377;64;0;37446;8;12.574.371.093.608.600;1;Quito;1;1
Luis Flores;6661252922;29;0;23046;42;60.515.935.546.734.900;5;Loja;2;1
Daniela González;2733972163;26;1;34818;49;16.415.231.283.661.100;2;Guayaquil;0;0
Daniela Gómez;9898227342;27;0;14324;28;405.640.823.390.213;4;Cuenca;2;0
Sofía Pérez;4259616526;61;0;86323;31;48.142.840.502.441.700;3;Guayaquil;0;1
Ana Gómez;5604717059;34;0;19111;9;3.971.066.438.080.090;4;Loja;1;1
Sofía González;4984193690;55;0;48110;29;3.483.745.138.983.630;5;Loja;0;1
Pedro Pérez;5579918199;24;0;26389;14;265.437.327.032.649;3;Ambato;0;1
Lucía Martínez;3499980519;63;0;51427;40;52.485.553.812.469.900;5;Quito;2;0
Pedro Sánchez;2954984111;30;1;89579;41;47.950.368.857.192.500;2;Ambato;2;1
Ana González;4217757188;57;1;38746;22;3.816.122.828.333.830;1;Cuenca;1;0
Ana Rodríguez;8506113222;59;0;97886;11;3.230.851.988.137.880;3;Guayaquil;0;0
Carlos Ramírez;7937066013;26;0;10117;23;38.192.756.431.403.600;2;Cuenca;0;1
Ana García;4587319262;67;0;94471;1;3.648.106.313.438.370;2;Loja;0;1
Daniela Rodríguez;1176454562;44;1;23234;46;32.224.347.409.684.800;3;Ambato;1;1
Juan Ramírez;2780470505;19;0;63441;37;4.904.826.320.881.940;5;Ambato;1;0
Luis Gómez;5513512505;22;1;10846;21;4.526.482.681.916.520;2;Ambato;1;1
Carlos Gómez;8454048738;46;0;20954;26;32.686.581.036.741.000;4;Cuenca;1;1
Pedro Gómez;7503099090;54;0;89239;46;3.496.558.536.138.930;2;Loja;1;0
Pedro Sánchez;4779649389;55;0;56514;36;352.819.452.627.679;5;Guayaquil;2;1
Miguel Martínez;3665631557;36;0;98236;23;33.825.955.762.951.900;5;Guayaquil;0;0
Juan Gómez;2002655823;25;1;16469;1;31.641.064.477.949.000;4;Cuenca;0;1
Daniela Pérez;2971847802;65;1;40105;40;2.982.492.409.152.660;2;Ambato;0;0
María González;1057074228;62;0;52101;15;4.996.832.147.872.590;5;Quito;0;1
Miguel Ramírez;528735633;18;0;74323;21;282.345.224.904.218;3;Cuenca;0;1
